Variable,3.000000 km,total,Beyond
P007008 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Some other race alone,4.0,447921,447917.0
P007009 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Two or more races,165.0,5015633,5015468.0
P007002 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:,9564.0,246233426,246223862.0
P007003 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  White alone,5053.0,194552547,194547494.0
P007017 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Two or more races,0.0,2417868,2417868.0
P007001 : P7. Hispanic or Latino by Race [17] : Total population,9572.0,285230516,285220944.0
P007006 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Asian alone,19.0,10070664,10070645.0
P007007 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,0.0,342801,342801.0
P007004 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Black or African American alone,4229.0,33712156,33707927.0
P007005 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  American Indian and Alaska Native alone,94.0,2091704,2091610.0
P007015 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,0.0,36407,36407.0
P007013 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  American Indian and Alaska Native alone,0.0,366617,366617.0
P007014 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Asian alone,0.0,109853,109853.0
P007010 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:,8.0,38997090,38997082.0
P007011 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  White alone,0.0,19869287,19869287.0
P007012 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Black or African American alone,0.0,949257,949257.0
P007016 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Some other race alone,8.0,15247801,15247793.0
